000298592	=STA  ## $aSUPPRESSED$bDuplicate record.	=STA  ## $aSUPPRESSED$bDuplicate
000324433	=STA  ## $aSUPPRESSED$bDuplicate for future merging	=STA  ## $aSUPPRESSED$bDuplicate
000476774	=STA  ## $aSUPPRESSED$bDuplicate for future merging	=STA  ## $aSUPPRESSED$bDuplicate
000579496	=STA  ## $aSUPPRESSED$bDuplicate for future merging	=STA  ## $aSUPPRESSED$bDuplicate
001068821	=STA  ## $aSUPPRESSED$bNot found	=STA  ## $aSUPPRESSED$bNot found at this shelfmark
001101877	=STA  ## $aSUPPRESSED$bNot found	=STA  ## $aSUPPRESSED$bNot found at this shelfmark
001152118	=STA  ## $aSUPPRESSED$bSerial catalogued as monograph. Holding added to serial record BLL01 001152126.	=STA  ## $aSUPPRESSED$bAccessioned as serial issue on record #001152126
001152119	=STA  ## $aSUPPRESSED$bSerial catalogued as monograph. Holdings record added to series record BLL01 001152126.	=STA  ## $aSUPPRESSED$bAccessioned as serial issue on record #001152126
001152120	=STA  ## $aSUPPRESSED$bSerial catalogued as monograph. Holdings record added to series record BLL01 001152126.	=STA  ## $aSUPPRESSED$bAccessioned as serial issue on record #001152126
001152122	=STA  ## $aSUPPRESSED$bDuplicated record. Existing holdings record for this shelfmark at BLL01 01152126	=STA  ## $aSUPPRESSED$bDuplicate
001152124	=STA  ## $aSUPPRESSED$bDuplicated record. Existing holdings record for this shelfmark at BLL01 01152126	=STA  ## $aSUPPRESSED$bDuplicate
001152127	=STA  ## $aSUPPRESSED$bSerial catalogued as monograph. Holdings record added to series record BLL01 001152126.	=STA  ## $aSUPPRESSED$bAccessioned as serial issue on record #001152126
001152128	=STA  ## $aSUPPRESSED$bSerial catalogued as monograph. Existing holding record for this shelfmark at BLL01 001152126.	=STA  ## $aSUPPRESSED$bAccessioned as serial issue on record #001152126
002192484	=STA  ## $aSUPPRESSED$bDuplicate for future merging	=STA  ## $aSUPPRESSED$bDuplicate
002226550	=STA  ## $aSUPPRESSED$bDuplicate for future merging	=STA  ## $aSUPPRESSED$bDuplicate
002240251	=STA  ## $aSUPPRESSED$bDuplicate for future merging	=STA  ## $aSUPPRESSED$bDuplicate
