004919140	=STA ## $aSUPPRESSED$b.	=STA ## $aSUPPRESSED$bunable to determine reason for suppression
004962924	=STA ## $aSUPPRESSED$b.	=STA ## $aSUPPRESSED$bunable to determine reason for suppression
004962932	=STA ## $aSUPPRESSED$b.	=STA ## $aSUPPRESSED$bunable to determine reason for suppression
004972442	=STA ## $aSUPPRESSED$b.	=STA ## $aSUPPRESSED$bunable to determine reason for suppression
006861533	=STA ## $aSuppressed$bunable to determine reason for suppression	=STA ## $aSUPPRESSED$bunable to determine reason for suppression
006879333	=STA ## $aSuppressed$bunable to determine reason for suppression	=STA ## $aSUPPRESSED$bunable to determine reason for suppression
007030634	=STA ## $aSUPPRESSED	=STA ## $aSUPPRESSED$bunable to determine reason for suppression
007030647	=STA ## $aSUPPRESSED	=STA ## $aSUPPRESSED$bunable to determine reason for suppression
007175504	=STA ## $aSUPPRESSED	=STA ## $aSUPPRESSED$bunable to determine reason for suppression
009719019	=STA ## $aSUPPRESSED	=STA ## $aSUPPRESSED$bunable to determine reason for suppression
012439744	=STA ## $aSUPPRESSED$bAcquisitions record	=STA ## $aSUPPRESSED$bAcquisitions use only
012440024	=STA ## $aSUPPRESSED$bMultipart: Acquistions use only	=STA ## $aSUPPRESSED$bMultipart: Acquisitions use only
012443010	=STA ## $aSUPPRESSED$bAccessioning record	=STA ## $aSUPPRESSED$bAcquisitions use only
012848102	=STA ## $aSUPPRESSED	=STA ## $aSUPPRESSED$bunable to determine reason for suppression
012849367	=STA ## $aSUPPRESSED	=STA ## $aSUPPRESSED$bunable to determine reason for suppression
012849673	=STA ## $aSUPPRESSED	=STA ## $aSUPPRESSED$bunable to determine reason for suppression
013796770	=STA ## $bPreliminary Record	=STA ## $aSUPPRESSED$bPreliminary record
013797237	=STA ## $bPreliminary Record	=STA ## $aSUPPRESSED$bPreliminary record
013797249	=STA ## $bPreliminary Record	=STA ## $aSUPPRESSED$bPreliminary record
013797803	=STA ## $bPreliminary Record	=STA ## $aSUPPRESSED$bPreliminary record
013798462	=STA ## $bPreliminary Record	=STA ## $aSUPPRESSED$bPreliminary record
013808931	=STA ## $bPreliminary Record	=STA ## $aSUPPRESSED$bPreliminary record
013817252	=STA ## $bPreliminary Record	=STA ## $aSUPPRESSED$bPreliminary record
013823204	=STA ## $bPreliminary Record	=STA ## $aSUPPRESSED$bPreliminary record
013825024	=STA ## $bPreliminary Record	=STA ## $aSUPPRESSED$bPreliminary record
013887201	=STA ## $bPreliminary Record	=STA ## $aSUPPRESSED$bPreliminary record
013887576	=STA ## $bPreliminary Record	=STA ## $aSUPPRESSED$bPreliminary record
013949220	=STA ## $bPreliminary Record	=STA ## $aSUPPRESSED$bPreliminary record
013949244	=STA ## $bPreliminary Record	=STA ## $aSUPPRESSED$bPreliminary record
013949375	=STA ## $bPreliminary Record	=STA ## $aSUPPRESSED$bPreliminary record
013949385	=STA ## $bPreliminary Record	=STA ## $aSUPPRESSED$bPreliminary record
013949399	=STA ## $bPreliminary Record	=STA ## $aSUPPRESSED$bPreliminary record
013949659	=STA ## $bPreliminary Record	=STA ## $aSUPPRESSED$bPreliminary record
013949689	=STA ## $bPreliminary Record	=STA ## $aSUPPRESSED$bPreliminary record
013949696	=STA ## $bPreliminary Record	=STA ## $aSUPPRESSED$bPreliminary record
013949868	=STA ## $bPreliminary Record	=STA ## $aSUPPRESSED$bPreliminary record
013952041	=STA ## $bPreliminary Record	=STA ## $aSUPPRESSED$bPreliminary record
013952191	=STA ## $bPreliminary Record	=STA ## $aSUPPRESSED$bPreliminary record
013952198	=STA ## $bPreliminary Record	=STA ## $aSUPPRESSED$bPreliminary record
013952211	=STA ## $bPreliminary Record	=STA ## $aSUPPRESSED$bPreliminary record
013952231	=STA ## $bPreliminary Record	=STA ## $aSUPPRESSED$bPreliminary record
013952240	=STA ## $bPreliminary Record	=STA ## $aSUPPRESSED$bPreliminary record
013952247	=STA ## $bPreliminary Record	=STA ## $aSUPPRESSED$bPreliminary record
013952437	=STA ## $bPreliminary Record	=STA ## $aSUPPRESSED$bPreliminary record
013952445	=STA ## $bPreliminary Record	=STA ## $aSUPPRESSED$bPreliminary record
013952474	=STA ## $bPreliminary Record	=STA ## $aSUPPRESSED$bPreliminary record
013952503	=STA ## $bPreliminary Record	=STA ## $aSUPPRESSED$bPreliminary record
013952533	=STA ## $bPreliminary Record	=STA ## $aSUPPRESSED$bPreliminary record
013952542	=STA ## $bPreliminary Record	=STA ## $aSUPPRESSED$bPreliminary record
013952555	=STA ## $bPreliminary Record	=STA ## $aSUPPRESSED$bPreliminary record
014014905	=STA ## $bPreliminary Record	=STA ## $aSUPPRESSED$bPreliminary record
014014997	=STA ## $bPreliminary Record	=STA ## $aSUPPRESSED$bPreliminary record
014015011	=STA ## $bPreliminary Record	=STA ## $aSUPPRESSED$bPreliminary record
014015138	=STA ## $bPreliminary Record	=STA ## $aSUPPRESSED$bPreliminary record
014015149	=STA ## $bPreliminary Record	=STA ## $aSUPPRESSED$bPreliminary record
014017172	=STA ## $bPreliminary Record	=STA ## $aSUPPRESSED$bPreliminary record
014017283	=STA ## $bPreliminary Record	=STA ## $aSUPPRESSED$bPreliminary record
014017479	=STA ## $bPreliminary Record	=STA ## $aSUPPRESSED$bPreliminary record
014017573	=STA ## $bPreliminary Record	=STA ## $aSUPPRESSED$bPreliminary record
014053989	=STA ## $bPreliminary Record	=STA ## $aSUPPRESSED$bPreliminary record
014054014	=STA ## $bPreliminary Record	=STA ## $aSUPPRESSED$bPreliminary record
014054229	=STA ## $bPreliminary Record	=STA ## $aSUPPRESSED$bPreliminary record
014054241	=STA ## $bPreliminary Record	=STA ## $aSUPPRESSED$bPreliminary record
